ncverilog: 15.20-s039: (c) Copyright 1995-2017 Cadence Design Systems, Inc.
TOOL:	ncverilog	15.20-s039: Started on Oct 07, 2019 at 23:07:09 CST
ncverilog
	+access+rwc
	test_bench_4bit.v
Loading snapshot worklib.test_bench_4bit:v .................... Done
ncsim> source /usr/cad/cadence/INCISIV/cur/tools/inca/files/ncsimrc
ncsim> run
=========This is a test bench of 4 bit ADDER=========
                   0 || a=  0 | b=  0 | c= 0 | s=  0 | OC= 0 | (ERR:          1)
                   5 || a=  0 | b=  1 | c= 0 | s=  1 | OC= 0 | (ERR:          1)
                  10 || a=  0 | b=  2 | c= 0 | s=  2 | OC= 0 | (ERR:          1)
                  15 || a=  0 | b=  3 | c= 0 | s=  3 | OC= 0 | (ERR:          1)
                  20 || a=  0 | b=  4 | c= 0 | s=  4 | OC= 0 | (ERR:          1)
                  25 || a=  0 | b=  5 | c= 0 | s=  5 | OC= 0 | (ERR:          1)
                  30 || a=  0 | b=  6 | c= 0 | s=  6 | OC= 0 | (ERR:          1)
                  35 || a=  0 | b=  7 | c= 0 | s=  7 | OC= 0 | (ERR:          1)
                  40 || a=  0 | b=  8 | c= 0 | s=  8 | OC= 0 | (ERR:          1)
                  45 || a=  0 | b=  9 | c= 0 | s=  9 | OC= 0 | (ERR:          1)
                  50 || a=  0 | b= 10 | c= 0 | s= 10 | OC= 0 | (ERR:          1)
                  55 || a=  0 | b= 11 | c= 0 | s= 11 | OC= 0 | (ERR:          1)
                  60 || a=  0 | b= 12 | c= 0 | s= 12 | OC= 0 | (ERR:          1)
                  65 || a=  0 | b= 13 | c= 0 | s= 13 | OC= 0 | (ERR:          1)
                  70 || a=  0 | b= 14 | c= 0 | s= 14 | OC= 0 | (ERR:          1)
                  75 || a=  0 | b= 15 | c= 0 | s= 15 | OC= 0 | (ERR:          1)
                  80 || a=  1 | b=  0 | c= 0 | s=  1 | OC= 0 | (ERR:          1)
                  85 || a=  1 | b=  1 | c= 0 | s=  2 | OC= 0 | (ERR:          1)
                  90 || a=  1 | b=  2 | c= 0 | s=  3 | OC= 0 | (ERR:          1)
                  95 || a=  1 | b=  3 | c= 0 | s=  4 | OC= 0 | (ERR:          1)
                 100 || a=  1 | b=  4 | c= 0 | s=  5 | OC= 0 | (ERR:          1)
                 105 || a=  1 | b=  5 | c= 0 | s=  6 | OC= 0 | (ERR:          1)
                 110 || a=  1 | b=  6 | c= 0 | s=  7 | OC= 0 | (ERR:          1)
                 115 || a=  1 | b=  7 | c= 0 | s=  8 | OC= 0 | (ERR:          1)
                 120 || a=  1 | b=  8 | c= 0 | s=  9 | OC= 0 | (ERR:          1)
                 125 || a=  1 | b=  9 | c= 0 | s= 10 | OC= 0 | (ERR:          1)
                 130 || a=  1 | b= 10 | c= 0 | s= 11 | OC= 0 | (ERR:          1)
                 135 || a=  1 | b= 11 | c= 0 | s= 12 | OC= 0 | (ERR:          1)
                 140 || a=  1 | b= 12 | c= 0 | s= 13 | OC= 0 | (ERR:          1)
                 145 || a=  1 | b= 13 | c= 0 | s= 14 | OC= 0 | (ERR:          1)
                 150 || a=  1 | b= 14 | c= 0 | s= 15 | OC= 0 | (ERR:          1)
                 155 || a=  1 | b= 15 | c= 0 | s=  0 | OC= 1 | (ERR:          1)
                 160 || a=  2 | b=  0 | c= 0 | s=  2 | OC= 0 | (ERR:          1)
                 165 || a=  2 | b=  1 | c= 0 | s=  3 | OC= 0 | (ERR:          1)
                 170 || a=  2 | b=  2 | c= 0 | s=  4 | OC= 0 | (ERR:          1)
                 175 || a=  2 | b=  3 | c= 0 | s=  5 | OC= 0 | (ERR:          1)
                 180 || a=  2 | b=  4 | c= 0 | s=  6 | OC= 0 | (ERR:          1)
                 185 || a=  2 | b=  5 | c= 0 | s=  7 | OC= 0 | (ERR:          1)
                 190 || a=  2 | b=  6 | c= 0 | s=  8 | OC= 0 | (ERR:          1)
                 195 || a=  2 | b=  7 | c= 0 | s=  9 | OC= 0 | (ERR:          1)
                 200 || a=  2 | b=  8 | c= 0 | s= 10 | OC= 0 | (ERR:          1)
                 205 || a=  2 | b=  9 | c= 0 | s= 11 | OC= 0 | (ERR:          1)
                 210 || a=  2 | b= 10 | c= 0 | s= 12 | OC= 0 | (ERR:          1)
                 215 || a=  2 | b= 11 | c= 0 | s= 13 | OC= 0 | (ERR:          1)
                 220 || a=  2 | b= 12 | c= 0 | s= 14 | OC= 0 | (ERR:          1)
                 225 || a=  2 | b= 13 | c= 0 | s= 15 | OC= 0 | (ERR:          1)
                 230 || a=  2 | b= 14 | c= 0 | s=  0 | OC= 1 | (ERR:          1)
                 235 || a=  2 | b= 15 | c= 0 | s=  1 | OC= 1 | (ERR:          1)
                 240 || a=  3 | b=  0 | c= 0 | s=  3 | OC= 0 | (ERR:          1)
                 245 || a=  3 | b=  1 | c= 0 | s=  4 | OC= 0 | (ERR:          1)
                 250 || a=  3 | b=  2 | c= 0 | s=  5 | OC= 0 | (ERR:          1)
                 255 || a=  3 | b=  3 | c= 0 | s=  6 | OC= 0 | (ERR:          1)
                 260 || a=  3 | b=  4 | c= 0 | s=  7 | OC= 0 | (ERR:          1)
                 265 || a=  3 | b=  5 | c= 0 | s=  8 | OC= 0 | (ERR:          1)
                 270 || a=  3 | b=  6 | c= 0 | s=  9 | OC= 0 | (ERR:          1)
                 275 || a=  3 | b=  7 | c= 0 | s= 10 | OC= 0 | (ERR:          1)
                 280 || a=  3 | b=  8 | c= 0 | s= 11 | OC= 0 | (ERR:          1)
                 285 || a=  3 | b=  9 | c= 0 | s= 12 | OC= 0 | (ERR:          1)
                 290 || a=  3 | b= 10 | c= 0 | s= 13 | OC= 0 | (ERR:          1)
                 295 || a=  3 | b= 11 | c= 0 | s= 14 | OC= 0 | (ERR:          1)
                 300 || a=  3 | b= 12 | c= 0 | s= 15 | OC= 0 | (ERR:          1)
                 305 || a=  3 | b= 13 | c= 0 | s=  0 | OC= 1 | (ERR:          1)
                 310 || a=  3 | b= 14 | c= 0 | s=  1 | OC= 1 | (ERR:          1)
                 315 || a=  3 | b= 15 | c= 0 | s=  2 | OC= 1 | (ERR:          1)
                 320 || a=  4 | b=  0 | c= 0 | s=  4 | OC= 0 | (ERR:          1)
                 325 || a=  4 | b=  1 | c= 0 | s=  5 | OC= 0 | (ERR:          1)
                 330 || a=  4 | b=  2 | c= 0 | s=  6 | OC= 0 | (ERR:          1)
                 335 || a=  4 | b=  3 | c= 0 | s=  7 | OC= 0 | (ERR:          1)
                 340 || a=  4 | b=  4 | c= 0 | s=  8 | OC= 0 | (ERR:          1)
                 345 || a=  4 | b=  5 | c= 0 | s=  9 | OC= 0 | (ERR:          1)
                 350 || a=  4 | b=  6 | c= 0 | s= 10 | OC= 0 | (ERR:          1)
                 355 || a=  4 | b=  7 | c= 0 | s= 11 | OC= 0 | (ERR:          1)
                 360 || a=  4 | b=  8 | c= 0 | s= 12 | OC= 0 | (ERR:          1)
                 365 || a=  4 | b=  9 | c= 0 | s= 13 | OC= 0 | (ERR:          1)
                 370 || a=  4 | b= 10 | c= 0 | s= 14 | OC= 0 | (ERR:          1)
                 375 || a=  4 | b= 11 | c= 0 | s= 15 | OC= 0 | (ERR:          1)
                 380 || a=  4 | b= 12 | c= 0 | s=  0 | OC= 1 | (ERR:          1)
                 385 || a=  4 | b= 13 | c= 0 | s=  1 | OC= 1 | (ERR:          1)
                 390 || a=  4 | b= 14 | c= 0 | s=  2 | OC= 1 | (ERR:          1)
                 395 || a=  4 | b= 15 | c= 0 | s=  3 | OC= 1 | (ERR:          1)
                 400 || a=  5 | b=  0 | c= 0 | s=  5 | OC= 0 | (ERR:          1)
                 405 || a=  5 | b=  1 | c= 0 | s=  6 | OC= 0 | (ERR:          1)
                 410 || a=  5 | b=  2 | c= 0 | s=  7 | OC= 0 | (ERR:          1)
                 415 || a=  5 | b=  3 | c= 0 | s=  8 | OC= 0 | (ERR:          1)
                 420 || a=  5 | b=  4 | c= 0 | s=  9 | OC= 0 | (ERR:          1)
                 425 || a=  5 | b=  5 | c= 0 | s= 10 | OC= 0 | (ERR:          1)
                 430 || a=  5 | b=  6 | c= 0 | s= 11 | OC= 0 | (ERR:          1)
                 435 || a=  5 | b=  7 | c= 0 | s= 12 | OC= 0 | (ERR:          1)
                 440 || a=  5 | b=  8 | c= 0 | s= 13 | OC= 0 | (ERR:          1)
                 445 || a=  5 | b=  9 | c= 0 | s= 14 | OC= 0 | (ERR:          1)
                 450 || a=  5 | b= 10 | c= 0 | s= 15 | OC= 0 | (ERR:          1)
                 455 || a=  5 | b= 11 | c= 0 | s=  0 | OC= 1 | (ERR:          1)
                 460 || a=  5 | b= 12 | c= 0 | s=  1 | OC= 1 | (ERR:          1)
                 465 || a=  5 | b= 13 | c= 0 | s=  2 | OC= 1 | (ERR:          1)
                 470 || a=  5 | b= 14 | c= 0 | s=  3 | OC= 1 | (ERR:          1)
                 475 || a=  5 | b= 15 | c= 0 | s=  4 | OC= 1 | (ERR:          1)
                 480 || a=  6 | b=  0 | c= 0 | s=  6 | OC= 0 | (ERR:          1)
                 485 || a=  6 | b=  1 | c= 0 | s=  7 | OC= 0 | (ERR:          1)
                 490 || a=  6 | b=  2 | c= 0 | s=  8 | OC= 0 | (ERR:          1)
                 495 || a=  6 | b=  3 | c= 0 | s=  9 | OC= 0 | (ERR:          1)
