name:(without .v)                   0 | N=0 | Jg=0 | Jy=0 | Jr=1 | Pg=x | Pr=x | Cg=0 | Cy=0 | Cr=1
                   1 | N=0 | Jg=1 | Jy=0 | Jr=0 | Pg=0 | Pr=1 | Cg=0 | Cy=0 | Cr=1
         10011500000 | N=0 | Jg=0 | Jy=1 | Jr=0 | Pg=0 | Pr=1 | Cg=0 | Cy=0 | Cr=1
         13013500000 | N=0 | Jg=0 | Jy=1 | Jr=0 | Pg=1 | Pr=0 | Cg=0 | Cy=0 | Cr=1
         13014500000 | N=0 | Jg=0 | Jy=0 | Jr=1 | Pg=1 | Pr=0 | Cg=0 | Cy=0 | Cr=1
         20021500000 | N=0 | Jg=0 | Jy=0 | Jr=1 | Pg=0 | Pr=1 | Cg=0 | Cy=0 | Cr=1
         20022500000 | N=0 | Jg=0 | Jy=0 | Jr=1 | Pg=0 | Pr=1 | Cg=1 | Cy=0 | Cr=0
         33035500000 | N=0 | Jg=0 | Jy=0 | Jr=1 | Pg=0 | Pr=1 | Cg=0 | Cy=1 | Cr=0
         36039500000 | N=0 | Jg=1 | Jy=0 | Jr=0 | Pg=0 | Pr=1 | Cg=0 | Cy=0 | Cr=1
         46049500000 | N=0 | Jg=0 | Jy=1 | Jr=0 | Pg=0 | Pr=1 | Cg=0 | Cy=0 | Cr=1
         49052500000 | N=0 | Jg=0 | Jy=1 | Jr=0 | Pg=1 | Pr=0 | Cg=0 | Cy=0 | Cr=1
         49053500000 | N=0 | Jg=0 | Jy=0 | Jr=1 | Pg=1 | Pr=0 | Cg=0 | Cy=0 | Cr=1
         55000000000 | N=1 | Jg=0 | Jy=0 | Jr=1 | Pg=0 | Pr=1 | Cg=0 | Cy=1 | Cr=0
         55000000003 | N=0 | Jg=0 | Jy=0 | Jr=1 | Pg=0 | Pr=1 | Cg=0 | Cy=1 | Cr=0
         55000500000 | N=0 | Jg=0 | Jy=0 | Jr=1 | Pg=0 | Pr=1 | Cg=0 | Cy=0 | Cr=1
         55001500000 | N=0 | Jg=0 | Jy=0 | Jr=1 | Pg=0 | Pr=1 | Cg=1 | Cy=0 | Cr=0
         68014500000 | N=0 | Jg=0 | Jy=0 | Jr=1 | Pg=0 | Pr=1 | Cg=0 | Cy=1 | Cr=0
         71017500000 | N=0 | Jg=1 | Jy=0 | Jr=0 | Pg=0 | Pr=1 | Cg=0 | Cy=0 | Cr=1
         81027500000 | N=0 | Jg=0 | Jy=1 | Jr=0 | Pg=0 | Pr=1 | Cg=0 | Cy=0 | Cr=1
         84030500000 | N=0 | Jg=0 | Jy=1 | Jr=0 | Pg=1 | Pr=0 | Cg=0 | Cy=0 | Cr=1
         84031500000 | N=0 | Jg=0 | Jy=0 | Jr=1 | Pg=1 | Pr=0 | Cg=0 | Cy=0 | Cr=1
         91038500000 | N=0 | Jg=0 | Jy=0 | Jr=1 | Pg=0 | Pr=1 | Cg=0 | Cy=0 | Cr=1
         91039500000 | N=0 | Jg=0 | Jy=0 | Jr=1 | Pg=0 | Pr=1 | Cg=1 | Cy=0 | Cr=0
        104052500000 | N=0 | Jg=0 | Jy=0 | Jr=1 | Pg=0 | Pr=1 | Cg=0 | Cy=1 | Cr=0
        107056500000 | N=0 | Jg=1 | Jy=0 | Jr=0 | Pg=0 | Pr=1 | Cg=0 | Cy=0 | Cr=1
        110000000003 | N=1 | Jg=0 | Jy=1 | Jr=0 | Pg=0 | Pr=1 | Cg=0 | Cy=0 | Cr=1
        110000000006 | N=0 | Jg=0 | Jy=1 | Jr=0 | Pg=0 | Pr=1 | Cg=0 | Cy=0 | Cr=1
        110000500000 | N=0 | Jg=0 | Jy=0 | Jr=1 | Pg=0 | Pr=1 | Cg=0 | Cy=0 | Cr=1
        110001500000 | N=0 | Jg=1 | Jy=0 | Jr=0 | Pg=0 | Pr=1 | Cg=0 | Cy=0 | Cr=1
        113002500000 | N=0 | Jg=1 | Jy=0 | Jr=0 | Pg=1 | Pr=0 | Cg=0 | Cy=0 | Cr=1
        113003500000 | N=0 | Jg=0 | Jy=0 | Jr=1 | Pg=1 | Pr=0 | Cg=0 | Cy=0 | Cr=1
        120010500000 | N=0 | Jg=0 | Jy=0 | Jr=1 | Pg=0 | Pr=1 | Cg=0 | Cy=0 | Cr=1
        120011500000 | N=0 | Jg=0 | Jy=0 | Jr=1 | Pg=0 | Pr=1 | Cg=1 | Cy=0 | Cr=0
        133024500000 | N=0 | Jg=0 | Jy=0 | Jr=1 | Pg=0 | Pr=1 | Cg=0 | Cy=1 | Cr=0
        136028500000 | N=0 | Jg=1 | Jy=0 | Jr=0 | Pg=0 | Pr=1 | Cg=0 | Cy=0 | Cr=1
        146038500000 | N=0 | Jg=0 | Jy=1 | Jr=0 | Pg=0 | Pr=1 | Cg=0 | Cy=0 | Cr=1
        149041500000 | N=0 | Jg=0 | Jy=1 | Jr=0 | Pg=1 | Pr=0 | Cg=0 | Cy=0 | Cr=1
        149042500000 | N=0 | Jg=0 | Jy=0 | Jr=1 | Pg=1 | Pr=0 | Cg=0 | Cy=0 | Cr=1
        156049500000 | N=0 | Jg=0 | Jy=0 | Jr=1 | Pg=0 | Pr=1 | Cg=0 | Cy=0 | Cr=1
        156050500000 | N=0 | Jg=0 | Jy=0 | Jr=1 | Pg=0 | Pr=1 | Cg=1 | Cy=0 | Cr=0
        165000000006 | N=1 | Jg=0 | Jy=0 | Jr=1 | Pg=0 | Pr=1 | Cg=0 | Cy=1 | Cr=0
        165000000009 | N=0 | Jg=0 | Jy=0 | Jr=1 | Pg=0 | Pr=1 | Cg=0 | Cy=1 | Cr=0
        165000500000 | N=0 | Jg=0 | Jy=0 | Jr=1 | Pg=0 | Pr=1 | Cg=0 | Cy=0 | Cr=1
        165001500000 | N=0 | Jg=0 | Jy=0 | Jr=1 | Pg=0 | Pr=1 | Cg=1 | Cy=0 | Cr=0
        168003500000 | N=0 | Jg=1 | Jy=0 | Jr=0 | Pg=0 | Pr=1 | Cg=0 | Cy=0 | Cr=1
        178013500000 | N=0 | Jg=0 | Jy=1 | Jr=0 | Pg=0 | Pr=1 | Cg=0 | Cy=0 | Cr=1
        181016500000 | N=0 | Jg=0 | Jy=1 | Jr=0 | Pg=1 | Pr=0 | Cg=0 | Cy=0 | Cr=1
        181017500000 | N=0 | Jg=0 | Jy=0 | Jr=1 | Pg=1 | Pr=0 | Cg=0 | Cy=0 | Cr=1
        188024500000 | N=0 | Jg=0 | Jy=0 | Jr=1 | Pg=0 | Pr=1 | Cg=0 | Cy=0 | Cr=1
        188025500000 | N=0 | Jg=0 | Jy=0 | Jr=1 | Pg=0 | Pr=1 | Cg=1 | Cy=0 | Cr=0
        201038500000 | N=0 | Jg=0 | Jy=0 | Jr=1 | Pg=0 | Pr=1 | Cg=0 | Cy=1 | Cr=0
        204042500000 | N=0 | Jg=1 | Jy=0 | Jr=0 | Pg=0 | Pr=1 | Cg=0 | Cy=0 | Cr=1
        214052500000 | N=0 | Jg=0 | Jy=1 | Jr=0 | Pg=0 | Pr=1 | Cg=0 | Cy=0 | Cr=1
